backend_name,run_id,run_timestamp_utc,pub_index,circuit_id,episode_id,domain,shift_type,family,topology_kind,qubit_count,depth,num_1q_gates,num_2q_gates,two_qubit_density,avg_degree,edge_density,symmetry_score,periodicity_score,linearity_score,idle_fraction,layer_sparsity,t1_us,t2_us,readout_error,oneq_epg,twoq_epg,time_index,success_bitstring,register_name,error_rate,pass_label,source_file
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,0,hw_ghz_n2_d6_s11_0000,ep_ghz_n2_001,target,temporal,ghz,linear,2,6,1,1,0.5,1.0,1.0,0.85,0.3,0.9,0.1,0.25,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.578125,0,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,1,hw_mirror_n2_d6_s11_0001,ep_mirror_n2_001,target,temporal,mirror,linear,2,6,12,6,0.3333,1.0,1.0,0.9,0.85,0.5,0.15,0.3,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.0078125,1,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,2,hw_qaoa_like_n2_d6_s11_0002,ep_qaoa_like_n2_001,target,temporal,qaoa_like,linear,2,6,5,2,0.2857,1.0,1.0,0.3,0.55,0.4,0.05,0.5,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.578125,0,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,3,hw_random_clifford_n2_d6_s11_0003,ep_random_clifford_n2_001,target,temporal,random_clifford,linear,2,6,12,6,0.3333,1.0,1.0,0.2,0.15,0.3,0.1,0.6,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.71875,0,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,4,hw_ghz_n2_d6_s23_0004,ep_ghz_n2_002,target,temporal,ghz,linear,2,6,1,1,0.5,1.0,1.0,0.85,0.3,0.9,0.1,0.25,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.4453125,0,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,5,hw_mirror_n2_d6_s23_0005,ep_mirror_n2_002,target,temporal,mirror,linear,2,6,12,6,0.3333,1.0,1.0,0.9,0.85,0.5,0.15,0.3,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.0078125,1,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,6,hw_qaoa_like_n2_d6_s23_0006,ep_qaoa_like_n2_002,target,temporal,qaoa_like,linear,2,6,5,2,0.2857,1.0,1.0,0.3,0.55,0.4,0.05,0.5,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.65625,0,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,7,hw_random_clifford_n2_d6_s23_0007,ep_random_clifford_n2_002,target,temporal,random_clifford,linear,2,6,12,6,0.3333,1.0,1.0,0.2,0.15,0.3,0.1,0.6,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.453125,0,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,8,hw_ghz_n2_d16_s11_0008,ep_ghz_n2_003,target,temporal,ghz,linear,2,16,1,1,0.5,1.0,1.0,0.85,0.3,0.9,0.1,0.25,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.5,0,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
ibm_fez,run_20260425T080829Z,2026-04-25T08:08:29.712370+00:00,9,hw_mirror_n2_d16_s11_0009,ep_mirror_n2_003,target,temporal,mirror,linear,2,16,32,16,0.3333,1.0,1.0,0.9,0.85,0.5,0.15,0.3,142.30076999561481,102.05920018023377,0.0152587890625,0.00028426417878307764,0.0025936305376031976,0,00,meas,0.03125,1,labels_ibm_fez_run_20260425T080829Z_d7m7d4qt99kc73d26d70.csv
