circuit_id,episode_id,domain,shift_type,family,topology_kind,qubit_count,depth,num_1q_gates,num_2q_gates,two_qubit_density,avg_degree,edge_density,symmetry_score,periodicity_score,linearity_score,idle_fraction,layer_sparsity,t1_us,t2_us,readout_error,oneq_epg,twoq_epg,time_index,error_rate,_hidden_coherent_scale,_hidden_crosstalk_scale,_hidden_context_scale,_hidden_temporal_scale,family_base_component,size_component,gate_component,decoherence_component,stochastic_component,coherent_component,crosstalk_component,context_component,temporal_component,family_penalty_component,observation_noise_component,pass_label,gate_count,depth_per_qubit,entangling_load,stochastic_proxy,decoherence_proxy,coherent_proxy,crosstalk_proxy,context_proxy,temporal_proxy,mirror_like_proxy,stability_proxy
source-00-00000,source-00,source,source,random_local,grid,15,6,81,5,0.05813953488372093,1.8774230908444065,0.13410164934602903,0.08986309313616983,0.0,0.6532583247977595,0.4027777777777778,0.8502364839985228,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.023856009061381602,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.006,0.00372,0.000867,0.0004472335529534645,0.011428917729469405,0.0003851961267493803,0.0002030296809449489,0.0022100556751491287,0.0,0.0,-0.0014054237038847264,1,86,0.4,5.232558139534884,0.03602129649029822,0.001918909088391793,0.1492855342497973,0.09096042106804296,1.7085011785099244,0.0,0.0,32.98213364806465
source-00-00001,source-00,source,source,parity,grid,11,26,281,33,0.10509554140127389,2.1494494484176894,0.21494494484176893,0.6875754569760363,0.6593742998407474,0.6228059935048827,0.31381118881118886,0.6907059393503787,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.05393872319315884,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.009,0.0074800000000000005,0.003947,0.0019380120627983464,0.02076639123501461,0.004552903816604415,0.0005007167767605827,0.0037712632312560217,0.0003927664939807076,0.0,0.0015896695767441639,1,314,2.3636363636363638,30.05732484076433,0.06998413824552681,0.008315272716364437,0.5090380791402342,0.1380485049142996,3.8194317227569026,0.461144647544905,0.45336958553125584,32.98213364806465
source-00-00002,source-00,source,source,qaoa_like,grid,17,4,61,6,0.08955223880597014,1.7840896496961065,0.11150560310600666,0.46227647650120784,0.47436991382253313,0.5940225428288717,0.3841911764705883,0.7986233329847495,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.029539760734985647,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.008,0.0036000000000000003,0.0007869999999999999,0.00029815570196897636,0.01181069340149047,0.0015631739906779658,0.0005220454391087088,0.004019976469186023,0.0,0.0,-0.001061284267446497,1,67,0.23529411764705882,6.08955223880597,0.037342364755614435,0.0012792727255945286,0.37970991041850066,0.15089315445190948,2.521968071426206,0.0,0.21929005232006224,32.98213364806465
source-00-00003,source-00,source,source,qaoa_like,grid,20,7,141,11,0.07236842105263158,2.257029566812863,0.11879102983225595,0.6671284177741628,0.3242441484550538,0.5465743643153379,0.3214285714285714,0.718577217469212,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.03743700263220394,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.008,0.00474,0.001647,0.0005217724784457086,0.014358871544043077,0.0011651671613018934,0.0006278886090683026,0.004432472553701498,0.0,0.0,0.0019438302856434589,1,152,0.35,10.131578947368421,0.04669795713449268,0.0022387272697904255,0.49099349620994814,0.1814862955770577,3.512776558354017,0.0,0.21631248573135078,32.98213364806465
source-00-00004,source-00,source,source,random_local,grid,9,21,168,17,0.0918918918918919,1.8594384407377347,0.23242980509221683,0.2509525450292966,0.07850003660217358,0.6855149192800238,0.38822751322751325,0.7342156652646874,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.03810291878695132,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.006,0.00606,0.002196,0.0015653174353371258,0.01642709809550106,0.0007075267628762214,0.00019069358012954867,0.0028902548994049716,8.530729834140807e-05,0.0,0.001980720715360989,1,185,2.3333333333333335,17.36756756756757,0.05419229788733011,0.006716181809371275,0.24009076992872266,0.08543365808794998,2.307450739337828,0.10015875750488275,0.019699783970208398,32.98213364806465
source-00-00005,source-00,source,source,parity,grid,19,11,187,30,0.1382488479262673,2.541546310331798,0.14119701724065545,0.705556935669972,0.45384038018763084,0.5374733874162203,0.35107655502392354,0.6274345352093456,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.04894228328786476,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.009,0.0054600000000000004,0.003109,0.0008199281804146849,0.019775145840904798,0.0018676458269880373,0.0013452440492944656,0.005960978117648668,0.0,0.0,0.0016043412726141175,1,217,0.5789473684210527,28.894009216589865,0.06627724018336763,0.003517999995384954,0.552594960135276,0.37088617431877235,3.9807628670939743,0.0,0.3202102279284799,32.98213364806465
source-00-00006,source-00,source,source,random_local,grid,16,11,159,7,0.04216867469879518,1.581295755017964,0.10541971700119761,0.10067862270123527,0.026315474844471096,0.7905573487192009,0.41051136363636365,0.9593442459109385,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.02716714848235483,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.006,0.00498,0.001533,0.0008199281804146849,0.012822117585281664,0.00030662169861914336,0.00013229931776718588,0.002835128002728765,0.0,0.0,-0.0022619463024566118,1,166,0.6875,7.421686746987952,0.04119859328504716,0.003517999995384954,0.15270913450795098,0.05927213004083399,1.6951641619046547,0.0,0.0026494057630703535,32.98213364806465
source-00-00007,source-00,source,source,qaoa_like,grid,12,10,96,11,0.102803738317757,2.1802777570530125,0.19820706882300113,0.7206392155572106,0.3547663877115823,0.6051765041596296,0.44270833333333337,0.7381727212809918,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.03288192300761532,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.008,0.00412,0.0013319999999999999,0.0007453892549224409,0.014126214803570966,0.002203127596729947,0.0005169734512468049,0.0026038183143930697,0.0,0.0,-0.0007656004132479081,1,107,0.8333333333333334,12.33644859813084,0.045767330172604245,0.003198181813986322,0.5599413014959949,0.1494271359974027,3.8831387266428505,0.0,0.2556585713465399,32.98213364806465
source-00-00008,source-00,source,source,qaoa_like,grid,10,6,52,6,0.10344827586206896,2.067915848037294,0.2297684275596993,0.602956439932713,0.2615055936956719,0.5399518758178798,0.39583333333333337,0.6743431903319315,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.025996115526647563,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.008,0.00292,0.000724,0.0004472335529534645,0.01174355953968385,0.0010424494501800753,0.000411170910376313,0.004482953325700463,0.0,0.0,-0.0037752512522466015,1,58,0.6,6.206896551724138,0.03707382930838796,0.001918909088391793,0.47427617114901177,0.11884573839294793,3.209004346276527,0.0,0.15767648179723284,32.98213364806465
source-00-00009,source-00,source,source,random_entangler,grid,17,24,339,62,0.1546134663341646,2.524660564914764,0.15779128530717276,0.19138348627698765,0.024247946268985632,0.4067601465312044,0.3857230392156863,0.4897997860250758,160.1847038153984,92.32553487215351,0.025119017680043536,0.00037349680909068406,0.00482693090122423,0,0.05660255197264839,0.010790480108088318,0.011160330974780367,0.0025055118852939815,0.0008517208127032658,0.01,0.008,0.006093,0.001788934211813858,0.02609049116578104,0.0007293643563976731,0.001604605997057048,0.0031192439052441156,0.00015370252763865442,0.0,-0.0009767901912840014,1,401,1.411764705882353,63.08229426433915,0.089224800974401,0.007675636353567172,0.22801994988342825,0.3686606034109395,1.995139503883987,0.1804611620923292,0.0046406564920155454,32.98213364806465
