backend_name,snapshot_id,fetch_timestamp,calibration_timestamp,circuit_id,episode_id,domain,shift_type,family,topology_kind,qubit_count,avg_degree,edge_density,t1_us,t2_us,readout_error,oneq_epg,twoq_epg,time_index,error_rate,pass_label,depth,num_1q_gates,num_2q_gates,two_qubit_density,symmetry_score,periodicity_score,linearity_score,idle_fraction,layer_sparsity,family_base_component,size_component,gate_component,decoherence_component,stochastic_component,coherent_component,crosstalk_component,context_component,temporal_component,family_penalty_component,observation_noise_component
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00000,source-ibm_fez,source,source,qaoa_like,heavy_hex,65,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.249156,0,34,2150,238,0.099665,0.551592,0.281243,0.299912,0.324661,0.704047,0.008,0.01788,0.02933,0.0865328836701166,0.1584078296460858,0.0014686428596389,0.0056983043794468,0.0025136210185051,0.0019810981546666,0.0,-0.0041814117111538
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00001,source-ibm_fez,source,source,random_local,heavy_hex,98,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.219754,0,14,1228,40,0.031546,0.129987,0.111141,0.771955,0.422376,0.995601,0.006,0.01876,0.0109959999999999,0.0356311873935774,0.1008267724097721,0.0002719873058592,0.0017543986822849,0.0055940308302954,0.0,0.0,-0.0020539806098068
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00002,source-ibm_fez,source,source,random_entangler,heavy_hex,82,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.220496,0,10,650,113,0.1481,0.167426,0.333196,0.356875,0.418445,0.567198,0.01,0.01532,0.01133,0.0254508481382696,0.0982535118808378,0.0005195788135708,0.0134388293774231,0.0044280568199797,0.0,0.0,3.157731715514646e-05
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00003,source-ibm_fez,source,source,parity,heavy_hex,153,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.249873,0,21,3019,494,0.140621,0.682882,0.654448,0.566019,0.316643,0.538394,0.009,0.0291,0.050773,0.0534467810903661,0.2016523478481099,0.0018783256484581,0.0198405129444536,0.0086227075365314,0.0004255473839999,0.0,-0.0006326530233973
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00004,source-ibm_fez,source,source,parity,heavy_hex,123,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.222805,0,9,864,90,0.09434,0.636511,0.606192,0.489735,0.461382,0.694535,0.009,0.02166,0.011448,0.0229057633244426,0.1016637396338431,0.0020407268458274,0.0107007019198691,0.0079645328649881,0.0,0.0,-0.0053765505871455
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00005,source-ibm_fez,source,source,qaoa_like,heavy_hex,131,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.249968,0,33,4721,415,0.080802,0.587925,0.254385,0.596628,0.25746,0.758153,0.008,0.02822,0.057947,0.0839877988562897,0.2220638925916613,0.000558429074903,0.0093107147638923,0.0102169440914469,0.0019321255,0.0,-0.0002788977774241
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00006,source-ibm_fez,source,source,qaoa_like,heavy_hex,124,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.238093,0,10,1226,140,0.102489,0.314829,0.236382,0.48431,0.311492,0.69617,0.008,0.02204,0.0169819999999999,0.0254508481382696,0.1219044712879391,0.0010549188610466,0.0111786293584425,0.0070185380786427,0.0,0.0,-0.0002882746404954
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00007,source-ibm_fez,source,source,ghz,heavy_hex,57,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.233468,0,14,753,136,0.152981,1.0,0.188144,0.810364,0.303728,0.486857,0.011,0.0122,0.013431,0.0356311873935774,0.1061042597466064,0.0009750285935209,0.0059381548012557,0.0074962074521098,0.0,0.0045,0.0038638414670194
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00008,source-ibm_fez,source,source,random_entangler,heavy_hex,91,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.248359,0,20,1642,306,0.157084,0.16438,0.313181,0.278545,0.331044,0.557652,0.01,0.01896,0.029854,0.0509016962765392,0.1546413715732554,0.0010666991751961,0.0158185209175578,0.0046557949364331,0.0001412830399999,0.0,-0.0017926408576602
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00009,source-ibm_fez,source,source,ghz,heavy_hex,121,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.24646,0,16,1577,171,0.097826,0.825476,0.284015,0.820925,0.435692,0.79635,0.011,0.02288,0.021299,0.0407213570212313,0.1360745922992527,0.0008262447718105,0.0080608127029311,0.0126866998619933,0.0,0.003976428,-0.0004647638914075
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00010,source-ibm_fez,source,source,ghz,heavy_hex,65,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.170446,0,8,460,26,0.053498,1.0,0.159897,0.880867,0.415865,0.865842,0.011,0.01216,0.0047799999999999,0.0203606785106156,0.0689334796115059,0.0016946957693575,0.0023680456317695,0.0076745277413596,0.0,0.0045,0.0010816136128554
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00011,source-ibm_fez,source,source,ghz,heavy_hex,117,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.246473,0,17,2188,112,0.048696,0.805439,0.072145,1.0,0.277275,0.790255,0.011,0.02246,0.022036,0.0432664418350583,0.1406345447664612,0.0019098708231191,0.0038798801852848,0.0095190672561765,0.0,0.003916317,-0.0014380917136449
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00012,source-ibm_fez,source,source,mirror,heavy_hex,76,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.23941,0,14,920,165,0.152074,0.755669,0.642211,0.721064,0.362664,0.523432,0.009,0.01524,0.01634,0.0356311873935774,0.1164264599128874,0.0013718596798281,0.0090183934294925,0.0098891553617219,0.0,0.0058415176027216,-0.0011123017368885
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00013,source-ibm_fez,source,source,qaoa_like,heavy_hex,74,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.248906,0,32,1897,219,0.103497,0.492636,0.350373,0.294771,0.441512,0.767464,0.008,0.01888,0.0264189999999999,0.0814427140424627,0.1503685916288021,0.0015768648901679,0.0067367293075821,0.0044262349824811,0.0016201081493333,0.0,-0.0009588581590889
ibm_fez,1,2026-04-19T03:37:59.300949,2026-04-19T03:00:34+05:30,ibm_fez_snap01_circ00014,source-ibm_fez,source,source,random_entangler,heavy_hex,72,4.5128,0.0146,137.8796,96.8056,0.0323568,0.01029132,0.04174524,1,0.170684,0,6,389,58,0.129754,0.322256,0.0,0.323043,0.353299,0.442766,0.01,0.01284,0.006203,0.0152705088829617,0.0751421754973719,0.0009397151483914,0.0103382202554921,0.0042492861595815,0.0,0.0,-0.0002728179784021
